Product Name,Brand,Release Year,Operating System,Screen Size (inch),Battery (mAh),Main Camera (MP),RAM (GB),Internal Storage (GB),Chip Set,CPU speed,GPU,Price
Điện thoại Samsung Galaxy Z Flip 5 - Hàng chính hãng,Samsung,,Android,,,,,,,,,17990000
Điện Thoại Samsung A34 5G 8GB/128GB - Hàng Chính Hãng,Samsung,,Android,6.6 inch,,,,,Dimensity 1080,,,5799000
Điện thoại Samsung Galaxy A05s (4Gb/128Gb) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,Samsung,,Android,6.7 inch,5000 mah,,4 GB,128 GB,Snapdragon 680,"	4 nhân 2.4 GHz &amp; 4 nhân 1.9 GHz","	Adreno 610",3490000
Điện Thoại Samsung A05 4GB/128GB - Hàng Chính Hãng,Samsung,,Android,6.7 inch,5000 mAh,,4GB,128GB,MediaTek Helio G85 8 nhân,,Mali-G52,2774000
Điện thoại OPPO A58 (6GB/128GB) - Hàng Chính Hãng,OPPO,,Android,6.7 inch,5000,, 6 GB,128GB,MediaTek Helio G85 8 nhân, 2.0 GHz,Mali-G52 MP2,4290000
Điện thoại Realme C51 (4GB/128GB) - Hàng chính hãng ,Realme,,Android,6.74 inch,5000 mAh,5 MP,4GB,128GB,Unisoc Tiger T612,1.82 GHz,Mali-G57,3158000
Điện thoại Tecno SPARK 10 Pro 8GB/256GB - Helio G88 | 5000 mAh | Sạc nhanh 18W | Cảm ứng vân tay - Hàng chính hãng,Tecno,,Android,,,,,,Helio G88,,,4150000
Điện Thoại Oppo Reno8 T 5G 8GB/128GB - Hàng Chính Hãng,OPPO,,Android,,4800 mAh,,128GB,8GB,Snapdragon 695 5G,,,7700000
Điện thoại Xiaomi Redmi 13C (6GB/128GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,Xiaomi,,Android,6.74 inch,5000,,6GB,128GB,MediaTek Helio G85 8 nhân,2 nhân 2.0 GHz &amp; 6 nhân 1.8 GHz,Mali-G52 MC2,2990000
"Điện thoại ITEL A48 2GB/32GB , 6.1"" HD+ , Camera kép - Hàng Chính Hãng",OEM,,Android,6.1 inch,3000mah,,2GB,32GB,,,,1299000
Điện Thoại Samsung Galaxy A14 (4GB/128GB) - Hàng Chính Hãng,Samsung,,Android,,,,,,,,,3672000
Điện thoại Samsung Galaxy M34 5G (8GB/128GB) - Hàng chính hãng,Samsung,,Android,,,,,,,,,6839000
Điện thoại Samsung Galaxy A05s 4GB/128GB- Hàng Chính hãng,Samsung,,Android,6.7 inch,,,,,,,,3591000
Điện thoại Samsung Galaxy A54 5G (8GB/128GB) - Hàng chính hãng,Samsung,,Android,,,,,,,,,7990000
Điện thoại Nokia C30 2GB/32GB - Hàng chính hãng,Nokia,,Android,,,,32GB,2GB,,,,1550000
