Product Name,Manufacturer,Operating System,Screen Size (inch),Battery (mAh),Main Camera (MP),RAM (GB),Internal Storage (GB),Phone Chip,Processor Speed (GHz),Price (VND)
Điện thoại Xiaomi 13 Lite (8GB/256GB) - Hàng chính hãng,Xiaomi,Android,6.55,5000,50,8,256,Snapdragon 7 Gen 1 8 nhân,"1 nhân 2.4 GHz, 3 nhân 2.36 GHz và 4 nhân 1.8 GHz",10689000
Điện thoại Xiaomi 12 Pro (12GB/256GB) - Hàng chính hãng,Xiaomi,Android,6.7,4500,50,12,256,," 1 nhân 3 GHz, 3 nhân 2.5 GHz &amp; 4 nhân 1.79 GHz",18900000
Điện thoại Xiaomi 12 (8 GB/256 GB) - Hàng chính hãng,Xiaomi,Android,6.28,4500,50,8,256,Snapdragon 8 Gen 1 8 nhân,"1 nhân 3 GHz, 3 nhân 2.5 GHz &amp; 4 nhân 1.79 GHz",12900000
Điện thoại VIVO Y02t - Hàng chính hãng - Pin Khủng 5000mAh - Màn hình 6.51HD+,Vivo,Android,6.5,5000,50,4,64, Helio P35,,3290000
Điện thoại vivo Y02T - Hàng chính hãng,Vivo,Android,6.5,5000,50,4,64,MediaTek Helio P35 8 nhân , 4 nhân 2.3 GHz &amp; 4 nhân 1.8 GHz,3125500
"Điện thoại Ulefone Power Armor 19T (Camera chụp ảnh nhiệt FLIR , RAM 17GB + ROM 256GB , Helio G99,sạc nhanh 66W,pin 9600mAh,chống nước,chống sốc)-hàng chính hãng",Ulefone,Android,6.58,9600,50,17,256,,,12990000
"Điện thoại ulefone note 16 pro (Ram 16Gb(8+8),rom 128Gb,android 13 , camera 50MP,pin 4.400mAhm, Mở khóa vân tay, Mở khóa bằng khuôn mặt )-hàng chính hãng",Ulefone,Android,6.58,4400,50,16,128,,,5990000
"Điện thoại Ulefone armor 22(chống nước,chống va đập, Màn hình giọt nước 6,58 inch, RAM:8GB,Rom 128GB/256GB,Thẻ nhớ microSD Lên đến 512GB, Camera kép 64MP + 64MP)- hàng chính hãng",Ulefone,Android,6.58,9600,64,8,256,,,5990000
"Điện Thoại ulefone armor 21(Loa to 122dB Speaker ,pin 9600mAh,sạc nhanh 33W,Màn hình 6.58 in,camera chính 64MP,ban đêm 24MP,Ram 16Gb(8+8),rom 256Gb, điều khiển từ xa đa năng)- hàng chính hãng",Ulefone,Android,6.58,9600,64,16,256,,,6990000
"Điện thoại Ulefone Armor 14 pro (chống nước,chống va đập,pin khủng,pin 10.000mAh,Ram 8Gb,Rom 128Gb)- hàng chính hãng",Ulefone,Android,6.52,5000,20,6,128,,,5990000
"Điện thoại Ulefone armor 14 (Ram 4Gb,Rom 64Gb, Pin khủng,pin 10.000mAh,sạc không dây,chống nước,chống va đập,Màn hình 6,52 Inch,camera 20MP) – hàng chính hãng",Ulefone,Android,6.52,10000,20,4,64,,,4990000
"Điện thoại Ulefone Armor 13 (pin khủng,pin 13.200mAh, Ram 8Gb,Rom 256Gb,chống sốc,chống va đập,nội soi,tia hồng ngoại,tia lade,loa to,học online)- hàng chính hãng",Ulefone,Android,6.52,13200,20,8,256,,,7990000
Điện thoại Samsung Galaxy S23 Plus 5G 8GB/256GB - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,Android,6.6,4700,50,8,256, Snapdragon 8 Gen 2 8 nhân," 1 nhân 3.36 GHz, 4 nhân 2.8 GHz &amp; 3 nhân 2 GHz",18000000
Điện thoại Samsung Galaxy S23 Plus 5G (8GB/512GB) - Hàng chính hãng ,Samsung,Android,6.6,4700,50,8,512,Snapdragon 8 Gen 2 8 nhân,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",17990000
Điện thoại Samsung Galaxy S23 Plus 5G (8GB/256GB) - Hàng chính hãng,Samsung,Android,6.6,4700,50,8,256,Snapdragon 8 Gen 2 Mobile Platform,Octa-core (8 nhân),18000000
Điện thoại Samsung Galaxy S23 Plus 512GB - Hàng chính hãng,Samsung,Android,6.6,4700,50,8,512,Snapdragon 8 Gen 2,Adreno 740,28191000
Điện thoại Samsung Galaxy S23 Plus 256GB - Hàng chính hãng,Samsung,Android,6.6,4700,50,8,256,Snapdragon 8 Gen 2,Adreno 740,26990000
Điện thoại Samsung Galaxy S23 8GB/128GB Xanh lục - Hàng chính hãng,Samsung,Android,6.6,3900,50,8,128,Snapdragon 8 Gen 2 Mobile Platform,Octa-core (8 nhân),23491000
Điện thoại Samsung Galaxy S23 8GB 256GB - Hàng chính hãng,Samsung,Android,6.1,3900,50,8,256,Snap dragon 8 gen 2 Mobile Platform,Octa-core (8 nhân),23491000
Điện thoại Samsung Galaxy S23 5G 8GB/256GB - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,Android,6.1,3900,50,8,256, Snapdragon 8 Gen 2 8 nhân,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz &amp; 3 nhân 2 GHz",23491000
Điện thoại Samsung Galaxy S23 5G 8GB/128GB - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,Android,6.1,3900,50,8,128, Snapdragon 8 Gen 2 8 nhân," 1 nhân 3.36 GHz, 4 nhân 2.8 GHz &amp; 3 nhân 2 GHz",15400000
Điện thoại Samsung Galaxy S23 5G (8GB/256GB) - Hàng chính hãng,Samsung,Android,6.1,3900,50,8,256,Snapdragon 8 Gen 2 8 nhân,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",15490000
Điện thoại Samsung Galaxy S23 5G (8GB/128GB) - Hàng chính hãng,Samsung,Android,6.1,3900,50,8,128,Snapdragon 8 Gen 2 8 nhân,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",14590000
Điện thoại Samsung Galaxy S23 (8GB/128GB) - Hàng Chính Hãng,Samsung,Android,6.1,3900,50,8,128,Snapdragon 8 Gen 2 8 nhân," 1 nhân 3.36 GHz, 4 nhân 2.8 GHz &amp; 3 nhân 2 GHz",22990000
Điện thoại Samsung Galaxy S22 Plus 5G (8GB/256GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,Android,6.6,4500,50,8,256,Snapdragon 8 Gen 1 8 nhân," 1 nhân 3 GHz, 3 nhân 2.5 GHz & 4 nhân 1.79 GHz",23000000
Điện thoại Samsung Galaxy S22 Plus 5G (8GB/256GB) - Hàng chính hãng,Samsung,Android,6.6,4500,50,8,256,Snapdragon 8 Gen 1 8 nhân," 1 nhân 3 GHz, 3 nhân 2.5 GHz & 4 nhân 1.79 GHz",21480000
Điện thoại Samsung Galaxy S22 Plus 5G (8GB/256GB) - Hàng Chính Hãng,Samsung,Android,6.6,4500,50,8,256,Snapdragon 8 Gen 1 8 nhân," 1 nhân 3 GHz, 3 nhân 2.5 GHz & 4 nhân 1.79 GHz",23900000
Điện thoại Samsung Galaxy S22 Plus 5G (8GB/128GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,Android,6.6,4500,50,8,128,Snapdragon 8 Gen 1 8 nhân," 1 nhân 3 GHz, 3 nhân 2.5 GHz & 4 nhân 1.79 GHz",23000000
Điện thoại Samsung Galaxy S22 Plus 5G (8GB/128GB) - Hàng chính hãng,Samsung,Android,6.6,4500,50,8,128,"	Snapdragon 8 Gen 1 8 nhân"," 1 nhân 3 GHz, 3 nhân 2.5 GHz & 4 nhân 1.79 GHz",19980000
Điện thoại Samsung Galaxy S22 Plus 5G (8GB/128GB) - Hàng Chính Hãng,Samsung,Android,6.6,4500,50,8,128,"	Snapdragon 8 Gen 1 8 nhân"," 1 nhân 3 GHz, 3 nhân 2.5 GHz & 4 nhân 1.79 GHz",24912000
Điện thoại Samsung Galaxy S21 FE 5G (8GB/128GB) - Hàng chính hãng,Samsung,Android,6.4,4500,32,8,128,Exynos 2100 8 nhân,"1 nhân 2.9 GHz, 3 nhân 2.8 GHz & 4 nhân 2.2 GHz",8650000
Điện thoại Samsung Galaxy S20 FE 8GB/256GB - Hàng Chính Hãng - Đã Kích Hoạt Bảo Hành Điện Tử,Samsung,Android,6.5,4500,12,8,256, Snapdragon 865 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz &amp; 4 nhân 1.8 GHz",8625000
Điện thoại Samsung Galaxy S20 FE 256GB | 8GB - Hàng Chính Hãng ,Samsung,Android,6.5,4500,12,8,256,Snapdragon 865,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz &amp; 4 nhân 1.8 GHz",8625000
Điện thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,Samsung,Android,6.5,4500,32,8,256,Snapdragon 865 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz & 4 nhân 1.8 GHz",7090000
Điện thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng chính hãng,Samsung,Android,6.5,4500,32,8,256, Snapdragon 865 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz & 4 nhân 1.8 GHz",7459000
Điện thoại Samsung Galaxy M34 5G (8GB/128GB) - Hàng chính hãng,Samsung,Android,6.6,6000,50,8,128,Exynos 1280 (5 nm),,6839000
Điện thoại Samsung Galaxy M34 5G (8GB/128GB) - Hàng chính hãng,Samsung,Android,6.6,6000,50,8,128,Exynos 1280 (5 nm),,6850000
Điện thoại Samsung Galaxy M14 5G (6GB/128GB) - Hàng Chính Hãng,Samsung,Android,6.6,6000,50,6,128,Exynos 1330,,5292000
Điện thoại Samsung Galaxy M14 5G (6GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,Samsung,Android,6.6,6000,50,6,128,Exynos 1330,,4290000
Điện thoại Samsung Galaxy M14 5G (4GB/64GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,Samsung,Android,6.6,6000,50,4,128,Exynos 1330 (5nm),"2.4GHz, 2GHz",3590000
Điện thoại Samsung Galaxy M14 5G (4GB/64GB) - Hàng chính hãng,Samsung,Android,6.6,6000,50,4,128,Exynos 1330,"2.4GHz, 2GHz",3135000
Điện thoại Samsung Galaxy M14 5G (4GB/64GB) - Hàng chính hãng,Samsung,Android,6.6,6000,50,4,128,Exynos 1330,"2.4GHz, 2GHz",6000000
Điện thoại Samsung Galaxy M14 5G (4GB/128GB) - Hàng chính hãng,Samsung,Android,6.6,6000,50,4,128,Exynos 1330,,3616000
Điện thoại Samsung Galaxy M14 5G (4GB/128GB) - Hàng chính hãng,Samsung,Android,6.6,6000,50,4,128,Exynos 1330,,4212000
Điện thoại Samsung Galaxy A54 5G (8GB/256GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,Samsung,Android,6.4,5000,50,8,256,Exynos 1380 8 nhân, 4 nhân 2.4 GHz &amp; 4 nhân 2 GHz,10790000
Điện thoại Samsung Galaxy A54 5G (8GB/256GB) - Hàng Chính Hãng,Samsung,Android,6.4,5000,50,8,256,Exynos 1380 8 nhân, 4 nhân 2.4 GHz &amp; 4 nhân 2 GHz,10790000
Điện thoại Samsung Galaxy A54 5G (8GB/256GB) - Hàng chính hãng,Samsung,Android,6.4,5000,50,8,256,Exynos 1380 8 nhân, 4 nhân 2.4 GHz &amp; 4 nhân 2 GHz,10790000
Điện thoại Samsung Galaxy A54 5G (8GB/128GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,Samsung,Android,6.4,5000,50,8,128, Exynos 1380 8 nhân, 4 nhân 2.4 GHz &amp; 4 nhân 2 GHz,7550000
Điện thoại Samsung Galaxy A54 5G (8GB/128GB) - Hàng Chính Hãng,Samsung,Android,6.4,5000,50,8,128,Exynos 1380 8 nhân, 4 nhân 2.4 GHz &amp; 4 nhân 2 GHz,9120000
Điện thoại Samsung Galaxy A54 5G (8GB/128GB) - Hàng chính hãng,Samsung,Android,6.4,5000,50,8,128,Exynos 1380 8 nhân, 4 nhân 2.4 GHz &amp; 4 nhân 2 GHz,10490000
Điện thoại Samsung Galaxy A54 5G (8GB/128GB) - Hàng chính hãng,Samsung,Android,6.4,5000,50,8,128,Exynos 1380 8 nhân, 4 nhân 2.4 GHz &amp; 4 nhân 2 GHz,7990000
Điện thoại Samsung Galaxy A34 5G 8GB/128GB Xanh - Hàng chính hãng,Samsung,Android,6.6,5000,48,8,128,Dimensity 1080 – 5nm,Octa Core 2 x 2.6GHz + 6 x 2.0GHz,7080000
Điện thoại Samsung Galaxy A34 5G 8GB/128GB Đen - Hàng chính hãng,Samsung,Android,6.6,5000,48,8,128,Dimensity 1080 – 5nm,Octa Core 2 x 2.6GHz + 6 x 2.0GHz,7080000
Điện thoại Samsung Galaxy A34 5G 8GB/128GB Bạc - Hàng chính hãng,Samsung,Android,6.6,5000,48,8,128,Dimensity 1080 – 5nm,Octa Core 2 x 2.6GHz + 6 x 2.0GHz,7080000
Điện Thoại Samsung Galaxy A34 5G (8GB/256GB) - Hàng Chính Hãng,Samsung,Android,6.6,5000,48,8,256,Exynos 1080,,9490000
Điện Thoại Samsung Galaxy A34 5G (8GB/128GB) ĐKH -  Hàng Chính Hãng,Samsung,Android,6.6,5000,48,8,128,MediaTek Dimensity 1080 8 nhân,2.2 GHz,7164000
Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,Android,6.6,5000,48,8,128,MediaTek Dimensity 1080 8 nhân, 2.2 GHz,5950000
Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng,Samsung,Android,6.6,5000,48,8,128,MediaTek Dimensity 1080 8 nhân,2.2 GHz,6490000
Điện Thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng Chính Hãng,Samsung,Android,6.6,5000,48,8,128,MediaTek Dimensity 1080 8 nhân,"2.6GHz, 2GHz",7164000
