Product Name,Manufacturer,Operating System,Screen Size (inch),Battery (mAh),Main Camera (MP),RAM (GB),Internal Storage (GB),Phone Chip,Processor Speed (GHz),Price (VND)
Điện Thoại Xiaomi Redmi Note 10 (4GB/64GB) - Hàng Chính Hãng,Xiaomi,Android,6.43,5000,13,4,64,Snapdragon 678 8 nhân,2 nhân 2.2 GHz & 6 nhân 1.7 GHz,3552000
"Điện thoại Xiaomi Redmi A2| IPS LCD 6.52"" HD+| MediaTek Helio G36| 5000 mAh - Hàng chính hãng",Xiaomi,Android,6.52,5000,13,2,32,MediaTek Helio G36, 2.2 GHz,2190000
"Điện thoại Xiaomi Redmi A2 MediaTek Helio G36 , Pin 5000 mAh - Hàng chính hãng",Xiaomi,Android,6.52,5000,5,2,32,MediaTek Helio G36,,1839000
Điện Thoại Xiaomi Redmi A2 2GB/32GB - Hàng Chính Hãng,Xiaomi,Android,6.52,5000,5,2,32,MediaTek Helio G36 8 nhân,,1783000
Điện thoại Xiaomi Redmi A2 (2GB/32GB) - Hàng chính hãng,Xiaomi,Android,6.52,5000,5,2,32,,,1879000
Điện Thoại Xiaomi Redmi A1 2GB/32GB - Hàng Chính Hãng,Xiaomi,Android,6.52,5000,5,2,32,MediaTek MT6761 4 nhân (Helio A22),,1747000
Điện thoại Xiaomi Redmi A1 2GB + 32GB Camera kép - Pin 5000mAh - Màn hình độ phân giải HD+ - Hàng chính hãng,Xiaomi,Android,6.52,5000,5,2,32,,,2088000
Điện thoại Xiaomi Redmi A1 (2GB/32GB) - Hàng chính hãng,Xiaomi,Android,6.52,5000,5,2,32,Helio A22,4 nhân 2.0 GHz,2088000
Điện thoại Xiaomi Redmi A1 (2GB/32GB) - Hàng chính hãng,Xiaomi,Android,6.52,5000,5,2,32, MediaTek MT6761 4 nhân (Helio A22),2.0 GHz,1790000
Điện thoại Xiaomi Redmi A1 (2GB/32GB) - Hàng chính hãng,Xiaomi,Android,6.52,5000,5,2,32,MediaTek MT6761 4 nhân (Helio A22), 2.0 GHz,1673000
Điện thoại Xiaomi Redmi A1 - Hàng chính hãng,Xiaomi,Android,6.52,5000,5,2,32,Đang cập nhật,2.0 GHz,2088000
Điện Thoại Xiaomi Redmi 9C 3GB/64GB - Hàng Chính Hãng,Xiaomi,Android,6.53,5000,13,3,64,MediaTek Helio G35 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.8 GHz,2508000
Điện Thoại Xiaomi Redmi 9C 3GB/64GB - Hàng Chính Hãng,Xiaomi,Android,6.53,5000,13,3,64,MediaTek Helio G35 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.8 GHz,2508000
Điện thoại Xiaomi REDMI 9C (3+64) Xám - Hàng chính hãng (chỉ giao HN và một số khu vực),Xiaomi,Android,6.53,5000,13,3,64,,,2568000
Điện thoại Xiaomi Redmi 9C - Hàng chính hãng,Xiaomi,Android,6.53,5000,13,4,128,MediaTek Helio G35 8 nhân,4 nhân 2.3 GHz &amp; 4 nhân 1.8 GHz,2508000
Điện Thoại Xiaomi Redmi 9C - Hàng Chính Hãng,Xiaomi,Android,6.53,5000,13,2,32,MediaTek Helio G35 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.8 GHz,2508000
Điện thoại Xiaomi Redmi 9A 2GB/32GB Xám - Hàng chính hãng,Xiaomi,Android,6.53,5000,13,2,32,MediaTek Helio G25 8 nhân,,2088000
"Điện thoại Xiaomi Redmi 9A 2GB/32GB - Chip MediaTek Helio G25 8 nhân (12 nm), Màn hình 6.53"" HD+, Camera 13MP, Pin 5000 - Hàng Chính Hãng",Xiaomi,Android,6.53,5000,13,2,32,,,2148000
Điện Thoại Xiaomi Redmi 9A (2GB/32GB)- Đã kích hoạt bảo hành điện tử- Hàng Chính Hãng - Sky Blue,Xiaomi,Android,6.53,5000,13,2,32,MediaTek Helio G25 8 nhân, 8 nhân 2.0 GHz,2088000
Điện Thoại Xiaomi Redmi 9A (2GB/32GB)- Đã kích hoạt bảo hành điện tử- Hàng Chính Hãng - Peacock Green,Xiaomi,Android,6.53,5000,13,2,32,MediaTek Helio G25 8 nhân,8 nhân 2.0 GHz,2088000
Điện Thoại Xiaomi Redmi 9A (2GB/32GB)- Đã kích hoạt bảo hành điện tử- Hàng Chính Hãng - Granite Gray,Xiaomi,Android,6.53,5000,13,2,32,MediaTek Helio G25 8 nhân,8 nhân 2.0 GHz,2088000
Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,Xiaomi,Android,6.53,5000,13,2,32,MediaTek Helio G25 8 nhân,8 nhân 2.0 GHz,1770000
Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,Xiaomi,Android,6.53,5000,13,2,32,MediaTek Helio G25 (12 nm),8 nhân 2.0 GHz,1799000
Điện thoại Xiaomi REDMI 9A (2+32) Xanh lá - Hàng chính hãng (chỉ giao HN và một số khu vực),Xiaomi,Android,6.53,5000,13,2,32,,,2088000
Điện thoại Xiaomi REDMI 9A (2+32) Xanh dương - Hàng chính hãng (chỉ giao HN và một số khu vực),Xiaomi,Android,6.53,5000,13,2,32,,,2088000
